IssacKinser,9,10,8.5,8,14,8.97,8,9,24,8,8.5,8.62,14,13.5,29,91.68
QuinnErtl,0,2,9,1,13,4.13,2,0,15,5,7,4,12,5,23,56.26
SanoraArney,8,9,0,2,0,3.8,0,10,11,3,7,4.88,5,0,7,29.36
EunWindom,3,8,8,10,7,6.73,10,4,3,1,9,5.04,14,6,21,64.54
LouveniaField,6,7,6,5,13,6.53,5,10,4,7,2,5.12,12,13,26,74.3
LanitaTrenholm,2,6,9,6,10,5.93,9,9,1,0,9,5.48,11,5,4,42.82
HerbertHeiss,10,1,8,10,6,6.6,7,3,17,5,6,5.56,9,13,27,73.32
DortheyRoessler,6,3,10,10,7,6.73,5,4,9,0,5,3.52,0,6,15,41.5
AndraFoutz,2,2,0,10,11,4.27,10,6,11,1,6,5.48,13,6,24,62.5
MariannBoney,9,9,10,8,15,9.2,9,8,23.75,9.5,8,8.8,11,15,28,90
ClariceFishman,2,0,7,7,4,3.73,10,7,9,4,9,6.72,10,1,26,57.9
MaisieFisler,0,3,6,3,5,3.07,0,7,5,1,4,2.8,9,7,28,55.74
ElfredaMcmunn,8,0,8,0,9,4.4,8,3,4,1,0,2.72,9,9,14,46.24
KarleneLewellen,0,7,6,1,3,3.2,4,2,3,9,2,3.64,0,8,18,39.68
CarmanFabiani,4,5,0,1,11,3.47,7,0,5,6,9,4.8,4,8,29,57.54
NakishaFason,5,4,10,8,3,5.8,6,0,15,7,1,4,5,10,27,61.6
ScarlettCort,0,8,3,6,5,4.07,3,4,7,8,9,5.36,12,3,7,40.86
MiloBelmont,6,8,2,0,13,4.93,7,1,22,4,3,4.76,5,1,17,42.38
CindiCrane,9.5,10,7.5,10,14.5,9.33,10,9,24.5,9.25,10,9.61,14,12.5,27.5,91.88
MarquitaLudwick,2,1,9,4,15,5.2,5,9,17,5,2,5.56,12,14,4,51.52
AunWindom,2,0,6,8,9,4.4,3,8,20,8,2,5.8,13,8,2,43.4
Louvenia Victor,1,4,0,4,14,3.67,8,1,0,6,10,5,12,1,4,34.34
BobTrenholm,0,5,6,8,15,5.8,10,2,20,1,6,5.4,1,9,20,52.4
SalHeiss,1,1,3,6,8,3.27,7,6,5,1,5,4.2,6,5,21,46.94
MikeRoessler,6,1,0,0,6,2.2,9,9,5,1,7,5.6,0,4,30,49.6
